artist,song_name,lyric
지코 (ZICO),아무노래,"['왜들 그리 다운돼있어', '뭐가 문제야 say something', '분위기가 겁나 싸해', '요새는 이런 게 유행인가', '왜들 그리 재미없어', '아 그건 나도 마찬가지', 'Tell me what I got to do', '급한 대로 블루투스 켜', '아무 노래나 일단 틀어', '아무거나 신나는 걸로', '아무렇게나 춤춰', '아무렇지 않아 보이게', '아무 생각 하기 싫어', '아무개로 살래 잠시', 'I’m sick and tired of my everyday', 'Keep it up 한 곡 더', '아무 노래나 일단 틀어', '아무렴 어때 It’s so boring', '아무래도 refresh가 시급한 듯해', '쌓여가 스트레스가', '배꼽 빠질 만큼만', '폭소하고 싶은 날이야', 'What up my dawgs 어디야 너희', '올 때 병맥주랑', '까까 몇 개 사 와 huh', '클럽은 구미가 잘 안 당겨', '우리 집 거실로 빨랑 모여', '외부인은 요령껏 차단 시켜', '밤새 수다 떨 시간도 모자라', '누군 힘들어 죽겠고 누군 축제', '괜히 싱숭생숭 I want my youth back', '좀 전까지 왁자지껄', '하다 한 명 두 명씩 자릴 떠', '왜들 그리 다운돼있어', '뭐가 문제야 say something', '분위기가 겁나 싸해', '요새는 이런 게 유행인가', '왜들 그리 재미없어', '아 그건 나도 마찬가지', 'Tell me what I got to do', '급한 대로 블루투스 켜', '아무 노래나 일단 틀어', '아무거나 신나는 걸로', '아무렇게나 춤춰', '아무렇지 않아 보이게', '아무 생각 하기 싫어', '아무개로 살래 잠시', 'I’m sick and tired of my everyday', 'Keep it up 한 곡 더', '떠나질 못할 바엔', '창밖은 쳐다도 안 봐', '회까닥해서 추태를 부려도', 'No worries at all', '이미지 왜 챙겨', '그래 봤자 우리끼린데', 'Ohh 늦기 전에 막판 스퍼트', '20대가 얼마 안 남았어', '편한 옷으로 갈아입어', 'You look nice get’em high', '얼핏 보면 그냥 코미디', '이렇게 무해한 파티 처음이지', '만감이 교차하는 새벽 2시경', '술잔과 감정이 소용돌이쳐', '왜들 그리 다운돼있어', '뭐가 문제야 say something', '분위기가 겁나 싸해', '요새는 이런 게 유행인가', '왜들 그리 재미없어', '아 그건 나도 마찬가지', 'Tell me what I got to do', '급한 대로 블루투스 켜', '아무 노래나 일단 틀어', '아무거나 신나는 걸로', '아무렇게나 춤춰', '아무렇지 않아 보이게', '아무 생각 하기 싫어', '아무개로 살래 잠시', 'I’m sick and tired of my everyday', 'Keep it up 한 곡 더', '아무 노래나 일단', '아무 노래 아무 노래', '아무 노래나 틀어봐', '아무 노래 아무 노래', '아무 노래나 틀어봐', '아무 노래 아무 노래', '아무 노래나 틀어봐', '아무 노래 아무 노래', '아무 노래나 KOZ']"
창모 (CHANGMO),METEOR,"['Yeah ha', 'Yeah ha', 'Yeah ha', 'Yeah ha', 'Yeah ha', 'Yeah ha', 'Yeah ha', 'Yeah ha', 'Yeah ha', 'Yeah ha', 'Yeah ha', 'Yeah ha', '모두 그에게 말해 또 왔네', '새꺄 whut', '죽지 않고 왔다 이렇게', '새꺄 뭐', 'Snacky chan의', '라인을 빌릴래', '했어 예수처럼 이렇게 부활을', '031 팔 안쪽의', 'tatt freaky woah', '어젠 시장님이 만나쟤 motown', '어수룩해 엄마 속에 걱정', '한 톤만큼 쌓고', '스물한살에 독립했던 얘는', '여섯이 되었고', '발견했지 우연히 5년 전의 노트', '정말 스타 되고 싶어', '그럴려면 가서 만나면 돼 악마', '노트를 덮고', '거울에 비춰진 남자를 보니 와', '저 손목이 너무 부러워', '저 금 daydate rollie', '넘을걸 천백은 더', '전국', '사람들이 외치네', '저 괴물체는 뭘까', 'Meteor', '거대 Meteor', '난 네게 처박힐 Meteor야', '별빛이 내려오지 마구', '내려오지', '경고', '경고', '그래도 처박힐 Meteor야', 'motown의 1번 노랠', '기억해 니들', '뭐였지 뭐였나 음 음', 'i’m the man in the mirror', '그러니 light me up', '1절의 그 별이 2절의 그 별이', '그래 모두 나였지', '실화가 된 동화이지', '힘들 때면 홀로', '쓴 노래를 불러', '환상들을 보던', '성냥팔이 소년이였던 나날들이', '365 24 730 24에 7', '1095 아 그만 세자', '1400이 되니 oh', '그 애랑도 하고 돔페리뇽이 만든', '숙취 땜에 넋을 놓은 나를 향해', '몇천 명이 와 해', '본 적은 없지만 때론', '어떤 존재가', '내 인생을 왔다 간 듯해', '그냥 그런 느낌이 들지', '상관없어 환상이던 현실이던지', 'hands up high', '전국', '사람들이 외치네', '저 괴물체는 뭘까', 'Meteor', '거대 Meteor', '난 네게 처박힐 Meteor야', '별빛이 내려오지 마구', '내려오지', '경고', '경고', '그래도 처박힐 Meteor야', '영 영 영원히', '약속해 영원하기로', '어둠 가득한 저 뒤로', '돌려보내지 말아요 제발 제발', '영 영 영원히', '난 영원할 거라 믿어', '흥분으로 가득차', '이 도시에 나 외칠 꺼야', '드디어 내가 여 왔다']"
조정석,아로하,"['어두운 불빛아래 촛불 하나', '와인 잔에 담긴 약속하나', '항상 너의 곁에서 널 지켜줄거야', '날 믿어준 너였잖아', '나 바라는 건 오직 하나', '영원한 행복을 꿈꾸지만', '화려하지 않아도 꿈같진 않아도', '너만 있어주면 돼', '걱정 마 I believe', '언제나 I believe', '이 순간을 잊지 않을게', '내 품에 I believe', '안긴 너의 미소가', '영원히 빛을 잃어 가지 않게', 'Cause your love is so sweet', 'You are my everything', '첫날 밤에 단 꿈에 젖어', '하는 말이 아냐 난 변하지 않아', '오직 너만 바라볼거야 oh', 'You’re light of my life', 'You are the one in my life', '내 모든걸 다 잃는대도', '후회하지 않아', '오직 너를 위한', '변하지 않는 사랑으로', '나 바라는 건 오직 하나', '영원한 행복을 꿈꾸지만', '화려하지 않아도 꿈같진 않아도', '너만 있어주면 돼', '약속해 I believe', '힘들 땐 I believe', '너의 그늘이 되어줄게', '내품에 I believe', '안긴 너의 미소가', '영원히 빛을 잃어 가지 않게', 'Cause your love is so sweet', 'You are my everything', '첫날 밤에 단 꿈에 젖어', '하는 말이 아냐 난 변하지 않아', '오직 너만 바라볼거야 oh', 'You’re light of my life', 'You are the one in my life', '내 모든걸 다 잃는대도', '후회하지 않아', '오직 너를 위한', '변하지 않는 사랑으로', 'You’re light of my life', 'You are the one in my life', '내 모든걸 다 잃는대도', '후회하지 않아', '오직 너를 위한', '변하지 않는 사랑으로', 'All I ever want is your love']"
장범준,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,"['흔들리는 꽃들 속에서', '네 샴푸향이 느껴진거야', '스쳐지나간건가 뒤돌아보지만', '그냥 사람들만 보이는거야', '다와가는 집근처에서', '괜히 핸드폰만 만지는거야', '한번 연락해 볼까 용기내 보지만', '그냥 내 마음만 아쉬운 거야', '걷다가 보면 항상 이렇게 너를', '바라만 보던 너를', '기다린다고 말할까', '지금 집앞에 계속 이렇게 너를', '아쉬워 하다 너를 연락했다 할까', '지나치는 꽃들 속에서', '네 샴푸향만 보이는거야', '스쳐지나간건가 뒤 돌아보지만', '그냥 내 마음만 바빠진거야', '걷다가 보면 항상 이렇게 너를', '바라만 보던 너를', '기다린다고 말할까', '지금 집앞에 계속 이렇게 너를', '아쉬워 하다 너를 연락했다 할까', '어떤 계절이 너를', '우연히라도 너를 마주치게 할까', '난 이대로 아쉬워하다', '너를 바라만 보던 너를', '기다리면서 아무말 못하고', '그리워만 할까', '걷다가 보면 항상 이렇게 너를', '바라만 보던 너를', '생각한다고 말할까', '지금 집앞에 기다리고', '때론 지나치고 다시 기다리는', '꽃이 피는 거리에 보고파라 이밤에', '걷다가 보면 항상 이렇게 너를', '아쉬워 하다 너를', '기다린다고 말할까', '지금 집앞에 계속 이렇게 너를', '아쉬워 하다 너를 연락했다 할까']"
아이유,에잇(Prod.&Feat. SUGA of BTS),"['So are you happy now', 'Finally happy now are you', '', '뭐 그대로야 난', '다 잃어버린 것 같아', '', '모든 게 맘대로 왔다가 인사도 없이 떠나', '이대로는 무엇도 사랑하고 싶지 않아', '다 해질 대로 해져버린', '기억 속을 여행해', '', '우리는 오렌지 태양 아래', '그림자 없이 함께 춤을 춰', '정해진 이별 따위는 없어', '아름다웠던 그 기억에서 만나', 'Forever young', '', '우우우 우우우우 우우우 우우우우', 'Forever we young', '우우우 우우우우', '이런 악몽이라면 영영 깨지 않을게', '', '섬 그래 여긴 섬 서로가 만든 작은 섬', '예 음 forever young 영원이란 말은 모래성', '', '작별은 마치 재난문자 같지', '그리움과 같이 맞이하는 아침', '서로가 이 영겁을 지나', '꼭 이 섬에서 다시 만나', '', '지나듯 날 위로하던 누구의 말대로 고작', '한 뼘짜리 추억을 잊는 게 참 쉽지 않아', '시간이 지나도 여전히', '날 붙드는 그곳에', '', '우리는 오렌지 태양 아래', '그림자 없이 함께 춤을 춰', '정해진 안녕 따위는 없어', '아름다웠던 그 기억에서 만나', '', '우리는 서로를 베고 누워', '슬프지 않은 이야기를 나눠', '우울한 결말 따위는 없어', '난 영원히 널 이 기억에서 만나', 'Forever young', '', '우우우 우우우우 우우우 우우우우', 'Forever we young', '우우우 우우우우', '이런 악몽이라면 영영 깨지 않을게']"
아이유,Blueming,"['‘뭐해?‘라는 두 글자에', '‘네가 보고 싶어’ 나의 속마음을 담아 우', '이모티콘 하나하나 속에', '달라지는 내 미묘한 심리를 알까 우', '', '아니 바쁘지 않아 nothing no no', '잠들어 있지 않아 insomnia nia nia', '지금 다른 사람과 함께이지 않아', '응, 나도 너를 생각 중', '', '우리의 네모 칸은 bloom', '엄지손가락으로 장미꽃을 피워', '향기에 취할 것 같아 우', '오직 둘만의 비밀의 정원', '', 'I feel bloom I feel bloom I feel bloom', '너에게 한 송이를 더 보내', '', '밤샘 작업으로 업데이트', '흥미로운 이 작품의 지은이 that’s me 우', '어쩜 이 관계의 클라이맥스', '2막으로 넘어가기엔 지금이 good timing 우', '', '같은 맘인 걸 알아 realize la lize', '말을 고르지 말아 just reply la la ly', '조금 장난스러운 나의 은유에', '네 해석이 궁금해', '', '우리의 색은 gray and blue', '엄지손가락으로 말풍선을 띄워', '금세 터질 것 같아 우', '호흡이 가빠져 어지러워', '', 'I feel blue. I feel blue. I feel blue.', '너에게 가득히 채워', '', '띄어쓰기없이보낼게사랑인것같애', '백만송이장미꽃을, 나랑피워볼래?', '꽃잎의 색은 우리 마음 가는 대로 칠해', '시들 때도 예쁘게', '', '우리의 네모 칸은 bloom', '엄지손가락으로 장미꽃을 피워', '향기에 취할 것 같아 우', '오직 둘만의 비밀의 정원', '', 'I feel bloom I feel bloom I feel bloom', '너에게 한 송이를 더 보내']"
노을,늦은 밤 너의 집 앞 골목길에서,"['오래되었어 그때 너의 웃음', '너의 목소리 잊혀진거 같아', '시간의 위로 그 말의 의미를 이젠 알아', '아픈 니 얘기도 적당히 할 수 있어', '그런데 이게 뭐랄까 난 난 술 한잔하면서', '괜찮은 듯 얘기하며 널 털어냈는데', '집으로 돌아오면서', '한 번 더 떠오른 기억에', '걸음을 멈춰 서서 이렇게 울고 있어', '자연스럽게 발걸음을 돌려', '나 바래다주던 익숙한 길을 가', '밤이 깊어져서 아무것도 보이지 않아도', '손을 흔들면서 인사하던 널 봤어', '그런데 이게 뭐랄까 난 난 술 한잔하면서', '괜찮은 듯 얘기하며 널 털어냈는데', '집으로 돌아오면서', '한 번 더 떠오른 기억에', '걸음을 멈춰 서서 이렇게 울고 있어', '아무도 없어서 참 다행이야', '나 이렇게 편안히 너를 부를 수 있는 걸', '외로운 위로겠지만', '그래서 이젠 뭘 할까 난 난 널 생각했어도', '괜찮은 듯 얘기하며 다 지워냈는데', '집으로 돌아오면서', '한 번 더 떠오른 추억에', '걸음을 멈춰 서서 또다시 울고 있어']"
가호 (Gaho),시작,"['새로운 시작은 늘 설레게 하지', '모든 걸 이겨낼 것처럼', '시간을 뒤쫓는 시계바늘처럼', '앞질러 가고 싶어 하지', '그어 놓은 선을 넘어', '저마다 삶을 향해', '때론 원망도 하겠지', '그 선을 먼저 넘지 말라고', 'I can fly the sky', 'Never gonna stay', '내가 지쳐 쓰러질 때까진', '어떤 이유도', '어떤 변명도', '지금 내겐 용기가 필요해', '빛나지 않아도 내 꿈을 응원해', '그 마지막을 가질 테니', '부러진 것처럼 한 발로 뛰어도', '난 나의 길을 갈 테니까', '지금 나를 위한 약속', '멈추지 않겠다고', '또 하나를 앞지르면', '곧 너의 뒤를 따라잡겠지', '원하는 대로', '다 가질 거야', '그게 바로 내 꿈일 테니까', '변한 건 없어', '버티고 버텨', '내 꿈은 더 단단해질 테니', '다시 시작해', 'Ah ah ah ah ah', 'Ah ah ah ah ah ah', 'Ah ah ah ah ah', 'Ah ah ah ah', '다시는 나를 잃고 싶지 않아', '내 전부를 걸었으니까', '원하는 대로', '다 가질 거야', '그게 바로 내 꿈일 테니까', '변한 건 없어', '버티고 버텨', '내 꿈은 더 단단해질 테니', '다시 시작해', 'Ah ah ah ah ah', 'Ah ah ah ah ah ah', 'Ah ah ah ah ah', 'Ah ah ah ah']"
방탄소년단,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),"['모든 게 궁금해', 'How’s your day', 'Oh tell me', '뭐가 널 행복하게 하는지', 'Oh text me', 'Your every picture', '내 머리맡에 두고 싶어', 'oh bae', 'Come be my teacher', '네 모든 걸 다 가르쳐줘', 'Your 1 your 2', 'Listen my my baby 나는', '저 하늘을 높이 날고 있어', '그때 니가 내게 줬던 두 날개로', '이제 여긴 너무 높아', '난 내 눈에 널 맞추고 싶어', 'Yeah you makin’ me a boy with luv', 'Oh my my my oh my my my', ""I've waited all my life"", '네 전부를 함께하고 싶어', 'Oh my my my oh my my my', 'Looking for something right', '이제 조금은 나 알겠어', 'I want something stronger', 'Than a moment', 'than a moment love', 'I have waited longer', 'For a boy with', 'For a boy with luv', '널 알게 된 이후 ya', '내 삶은 온통 너 ya', '사소한 게 사소하지 않게', '만들어버린 너라는 별', '하나부터 열까지 모든 게 특별하지', '너의 관심사 걸음걸이 말투와', '사소한 작은 습관들까지', '다 말하지 너무 작던', '내가 영웅이 된 거라고', 'Oh nah', '난 말하지 운명 따윈', '처음부터 내 게 아니었다고', 'Oh nah', '세계의 평화', 'No way', '거대한 질서', 'No way', '그저 널 지킬 거야 난', 'Boy with luv', 'Listen my my baby 나는', '저 하늘을 높이 날고 있어', '그때 니가 내게 줬던 두 날개로', '이제 여긴 너무 높아', '난 내 눈에 널 맞추고 싶어', 'Yeah you makin’ me a boy with luv', 'Oh my my my oh my my my', 'You got me high so fast', '네 전부를 함께하고 싶어', 'Oh my my my oh my my my', 'You got me fly so fast', '이제 조금은 나 알겠어', 'Love is nothing stronger', 'Than a boy with luv', 'Love is nothing stronger', 'Than a boy with luv', '툭 까놓고 말할게', '나도 모르게 힘이 들어가기도 했어', '높아버린 sky', '커져버린 hall', '때론 도망치게 해달라며 기도했어', 'But 너의 상처는 나의 상처', '깨달았을 때 나 다짐했던 걸', '니가 준 이카루스의 날개로', '태양이 아닌 너에게로', 'Let me fly', 'Oh my my my oh my my my', ""I've waited all my life"", '네 전부를 함께하고 싶어', 'Oh my my my oh my my my', 'Looking for something right', '이제 조금은 나 알겠어', 'I want something stronger', 'Than a moment', 'than a moment love', 'Love is nothing stronger', 'Than a boy with luv']"
Red Velvet (레드벨벳),Psycho,"['Psycho', '', '널 어쩌면 좋을까', '이런 맘은 또 첨이라', 'Up & Down이 좀 심해', '조절이 자꾸 잘 안돼', '하나 확실한 건', 'I don’t play the game', '', '우리 진짜 별나대', '그냥 내가 너무 좋아해', '넌 그걸 너무 잘 알고', '날 쥐락펴락해', '나도 마찬가지인걸', '', '우린 참 별나고 이상한 사이야', '서로를 부서지게', '(부서지게)', '그리곤 또 껴안아', '(그리곤 또 껴안아)', '', 'You got me feeling like a', 'psycho psycho', '우릴 보고 말해 자꾸 자꾸', '다시 안 볼 듯 싸우다가도', '붙어 다니니 말야', '이해가 안 간대', '웃기지도 않대', '', '맞아 Psycho psycho', '서로 좋아 죽는 바보 바보', '너 없인 어지럽고 슬퍼져', '기운도 막 없어요', '둘이 잘 만났대', 'Hey now we’ll be ok', '', 'Hey trouble', '경고 따윈 없이 오는 너', 'I’m original visual', '우린 원래 이랬어 Yeah', '두렵지는 않아', '(흥미로울 뿐)', 'It’s hot! Let me just hop', '어떻게 널 다룰까? Ooh', '', '어쩔 줄을 몰라 너를 달래고', '매섭게 발로 차도', '가끔 내게 미소 짓는 널', '어떻게 놓겠어 Ooh', '', '우린 아름답고 참 슬픈 사이야', '서로를 빛나게 해', '(Tell me now)', '마치 달과 강처럼', '그리곤 또 껴안아', '', 'You got me feeling like a', 'psycho psycho', '우릴 보고 말해 자꾸 자꾸', '다시 안 볼 듯 싸우다가도', '붙어 다니니 말야', '이해가 안 간대', '웃기지도 않대', '', '맞아 Psycho psycho', '서로 좋아 죽는 바보 바보', '너 없인 어지럽고 슬퍼져', '기운도 막 없어요', '둘이 잘 만났대', 'Hey now we’ll be ok', '', 'Don’t look back', '그렇게 우리답게 가보자', '난 온몸으로 널 느끼고 있어', 'Everything will be ok', '', '(You got me feeling like a psycho)', 'Like a psycho psycho', '우릴 보고 말해 자꾸 자꾸', '다시 안 볼 듯 싸우다가도', '붙어 다니니 말야', '둘이 잘 만났대', 'Hey now we’ll be ok', '', 'Hey now we’ll be ok', 'Hey now we’ll be ok', 'Hey now we’ll be ok', 'Hey now we’ll be ok', '', 'It’s alright', 'It’s alright', '', 'Hey now we’ll be ok', 'Hey now we’ll be ok', 'Hey now we’ll be ok', 'Hey now we’ll be ok', '', 'It’s alright', 'It’s alright', '', '우린 좀 이상해', 'Psycho']"
